Title,Description,Category,Award,Due Date
Visual Art Scholarship Program For USA-Canada Stud,"We are excited to announce our company’s annual $1000 scholarship, which is available to college students of all majors who are enrolled or been accepted who cumulative GPA of at least 3.0 scale or university within the United States of America and Canada. For your convenience, here is the link to the application page on our website: https://www.aistechnolabs.com/visual-art-scholarship-program-usa-canada-students/ ??Eligibility and application details are included below. The scholarship is open to all undergraduate or postgraduate students taking part in an Art, Graphic Design, Visual Communication and Creative Advertising course at a US/ Canada based University or College. The students who want to apply for this scholarship program needs to submit 3 logo design samples for different sectors like – Logo design company,Mobile app development company and Recruitment agency A gap between Bachelors and Masters Degree is not allowed Cumulative GPA of at least 3.0 scale required Students must have attained 18 years of age, at the start of the program. Should be a regular student and not a school/college dropout AIS will automatically disqualify applicants who are found to furnish information that is false, plagiarized or has copyright issues. To enter, applicants are encouraged to send their submission to sunnyc@aistechnolabs.com, along with their name, college/university, expected year of graduation, and intended major. The deadline for submissions is the 15th of May 2019. The winner will be notified individually and announced on or around 31st May 2019. I hope that you will include our scholarship on your website and make it available to your students. Again, here is a link to the application page: https://www.aistechnolabs.com/visual-art-scholarship-program-usa-canada-students/",Arts,"$1,000",5/15/2019
Excellence In Accounting Scholarship Program For U,"A Degree in Accounting can skyrocket one’s career. Although paying for higher education can be expensive, what you get in return of earning an accounting degree is well worth it. All students who love accounting as a subject and want to make a full time career out if, cannot always afford the staggering college fees. To give such students a push and turn their dream of becoming a successful accountant, into reality, we at Alliance Recruitment Agency have started giving away Accounting Scholarships. Every little bit help. And so the financial assistance you will receive from an accountancy recruitment agency like us, is sure to take the load off your mind while pursuing your goal.",Business,"$1,000",5/15/2019
The OurMilitary.com Annual Veteran Recognition Sch,"To help further support our military and their families, we have created a $1,000 annual scholarship for one undergraduate student that is either an active service member or veteran, a military spouse, or the child of an active service member or veteran.",- None -,"$1,000",5/15/2019
Scholarship Program For Gaming Excellence For USA,"The world of mobile gaming, changes in technology are inevitable. The game developers need to stay updated with the new trends in this field to build innovative games which amuse the users. It doesn’t matter how skilled and talented you are, without professional training in mobile game development, you cannot develop games which can help you meet your career goals.",Engineering,"$1,000",5/15/2019
Engineering Scholarship Program,"Alliance Recruitment Agency is very excited to tell you that we are offering a scholarship of $1000 to students of College. Eligibility Criteria The applicant should have enrolled or planning to enroll for undergraduate or postgraduate engineering course (for, eg. B.E, B.Tech, M.E. M.Tech) with an accredited college/university. The applicant should be at least 18 years of age while applying. The applicant should have completed High School / Secondary School education. The applicant should be a citizen or permanent resident of USA or Canada. While applying, the applicant should have completed at least one term of college/university engineering course after completing high school or secondary school education. The students having a time gap between graduation and post graduation are not eligible.",Engineering,"$1,000",5/15/2019
Colorado Legal Group Fund,The team at Colorado Legal Group wants to support the next generation of leaders in law and help grow the future in the legal society. In a short essay please answer the following question: “Why are you applying to law school and why do you want to pursue a career in the legal profession?”,Law,"$1,000",5/20/2019
Julia Hair Scholarship Program,"Applicants who intend to participate in the scholarship contest must meet the following criteria: 1: Students enrolled as a full-time student in a U.S. or Canadian institution of graduate or undergraduate program, majoring in fashion or studying in the areas of cosmetology. 2: American or Canadian Citizen or legal permanent residents who currently resides in the United States or Canada.",Other,"$1,200",5/20/2019
Discover Business MBA/Graduate Scholarships,"Discover Business has put together the ultimate list of 900 MBA and Graduate Scholarships available in the US. Their guide has been hand-crafted to help students discover an MBA program that works for them. They have searched, collected and verified data from multiple sources including the NCES, AACSB, and directly from school surveys. To add to this, they have researched MBA scholarships, accreditation, rankings and lots more.",- None -,$0,5/25/2019
2019 Service to Humanity Scholarship,"The Disparti Law Group is passionate about helping our community. That is why we are excited to announce the 2019 Service to Humanity Scholarship.We wanted to showcase their efforts by giving a $1,000 scholarship to a student who demonstrates an excellent ethic of service to the community.",- None -,"$1,000",5/30/2019
Brain Enhancement Scholarship,"Nootrilab is one of the best resources on brain health, nootropics and enhancing mental performance. In order to facilitate the spread of knowledge to younger generations, Nootrilab is proud to announce the ""Brain Enhancement Scholarship"". This ""Brain Enhancement Scholarship"" will support university students currently located in Canada or the United States to advance their higher education. Our scholarship hopes to support one (1) student with the cost of their tuition by awarding a $750 scholarship to the successful applicant.",Medicine,$750,5/31/2019
$500 Scholarship Program By zensleep.com,ZenSleep is the #1 rated anti-snoring sleep lab in the world. We provide great customer service and work hard to provide our clients with the help they need. Our goal is to help you get the best night’s sleep possible. We created a scholarship program to help the youth of America further their education.,Health Professions,$500,5/31/2019
$1000 Scholarship Program by Acne Gone,"ACNE GONE is your one-stop portal for finding rational advice on understanding, treating, and preventing acne the right way. We created a scholarship program to help the youth of America further their education. We are extremely pleased to announce that we will be awarding one college student a scholarship with a combined total of $1000. This money can be used for any worthwhile need directly related to Schools such as tuition, books, supplies, or board at the students' university or college.",Health Professions,"$1,000",5/31/2019
$1000 Scholarship For Students,"We are an online review site for Drink Informer, would like to help an ambitious college student toward his/her college expenses with a $1000 scholarship. It is doing excellent work in helping in next generation save money with the help of scholarships. The aim of this scholarship is to help one student living in the United States to avoid any debt and pay for higher education easily. Good news for the college students. A lucky college student will get a scholarship that is worth up to $1000. It can be used for tuition, supplies, books or board at the college or university of the student. It will help the student a lot to cope with the finances of higher education.",Business,"$1,000",5/31/2019
Show Off Your Stripes 2019,"The Zebra is the leading car insurance comparison marketplace in the U.S. We’ve achieved our successes because everyone on our team brings their individual skills, experiences, and personalities to the table. Everyone’s different – and that’s a great thing! From the Z Team in our wonderful city of Austin, Texas to the rest of the great wide United States, we embrace all cultures and creeds, and actively celebrate our differences. How do you celebrate the vibrant uniqueness around you?",- None -,"$1,000",5/31/2019
The Cyberbullying Awareness Scholarship,"The attorneys at McCready Garcia & Leet, P.C. are offering a $1,000 scholarship to a student who can effectively discuss ways in which members of the community, including themselves, can help address and combat cyberbullying.",- None -,"$1,000",5/31/2019
The Memorials.com Remembering a Life Scholarship,"Life is a journey worth celebrating and remembering. Since 2002, Memorials.com has been the market leader in helping people remember their loved ones with affordable memorial products. Now, Memorials.com wants to help students remember the life of someone important in their lives as they take this important next step in their careers. The Remembering a Life scholarship from Memorials.com will offer at least one $2,500 scholarship to an eligible college student planning to attend an accredited college for the 2019 school year.",Other,"$2,500",5/31/2019
Impact on the Community Scholarship,"Interested applicants should write a 750-1000 word essay, discussing a time when you made a positive impact on someone or something in your community, and how that experience changed you as a person.",- None -,"$1,000",5/31/2019
Divorce Matters Scholarship,"Click to Apply for the Divorce Matters Scholarship Divorce Matters is pleased to offer our 2nd Annual Divorce Matters Scholarship. This scholarship is available to high school seniors and current college students who have been personally affected by a divorce. At our law firm, we know life gets complicated and that divorce is sometimes necessary. Our goal is to help students affected by divorce afford a better education.",Continuing Education,"$2,500",5/31/2019
GoGoMountain $1200 Hiking and Camping Scholarship,"GoGoMountain is a one-stop hiking and camping adventure blog which provides different guides on hiking and camping. We are offering scholarship to needy student in context to their higher studies. The cost of attending higher education can rise into thousands of dollars and we understand how challenging the financial burden can be for a student and to the family. With this thought, our team at GoGoMountain has decided to offer GoGoMountain Hiking and Camping Scholarship to students who are in colleges/universities and those who are planning in attending college or graduate school in future.",Business,"$1,200",5/31/2019
Pinoy Channel Scholarship,"Each year Pinoy Channel contributes to the continuing education of outstanding students. Pinoy Tv supports special students who exemplify their potential to become the leaders of tomorrow. We award to students who recognize the importance of volunteerism, community involvement, future goals, as well as academic achievement.",- None -,"$1,500",5/31/2019
Eltima Software Scholarship Program 2019,"This year Eltima Software decided to launch the scholarship program for creative and enthusiastic students, in order to give a small aid in supporting the industry that we are a part of. Eltima Software team hopes that this scholarship will give talented young people who are passionate about software for Mac an opportunity they really deserve.",Other,"$1,500",5/31/2019
PSDtoWPService -- $500 Scholarship Contest,We want to help an ambitious college student toward his/her college expenses with a $500 scholarship. It is doing excellent work in helping in the next generation save money with the help of scholarships. This scholarship aims to help one student living in the United States to avoid any debt and pay for higher education easily.,"Architecture, Design & Planning",$500,5/31/2019
Goodwin & Scieszka 2018 Innovation Scholarship,"Goodwin & Scieszka is happy to announce they have renewed their Innovation Scholarship for 2019. Thank you for sharing this scholarship on your site in the past - we hope that you provide the information to your students again this year. As a reminder, the Goodwin & Scieszka Innovation Scholarship is open to current law students at an accredited law school in the United States and to students at accredited undergraduate universities in the United States who are planning to attend law school in the future. Applicants must have a minimum 2.8 GPA and submit a copy of their transcript. Other minor terms and conditions also apply. Your students can follow the link below to the application. They will need to submit an essay with their application on one of two potential topics which are listed on the application. The Innovation Scholarship grand prize winner will receive $1,000 for their education and two runners-up will receive $500 each for their educations.",Law,"$1,000",6/1/2019
Camerakool Annual Scholarship Program,We are proud to announce the $1000 Scholarship Program to the students out there. It is a clear shout out for the students with incredible writing skills. Students just need to submit an incredible essay about “The Impact of Photography” and get rewarded for their writing skills. The Scholarship Program is for School / College and University Students who are currently studying.,Arts,"$1,000",6/1/2019
"Packaging, Print and Graphic Design Scholarship","GlobalVision is pleased to offer its Packaging and Print Design Scholarship. The scheme is designed to promote study in the packaging, print, and graphic design disciplines by offering a monetary scholarship to undergraduate college students currently studying a related subject.",Other,"$1,000",6/1/2019
Senvie Skin Care Scholarship,"Senvie Skin Care is both proud to announce a scholarship for college students who are are interested in beauty, skin care and aesthetics.",- None -,$500,6/1/2019
Fortis Construction Scholarship,Take advantage of this opportunity to win a 2019 construction scholarship worth $1000 from Fortis. Those of us at Fortis Tracks understand the role of education in providing young people with opportunities for career advancement and overall professional success.,Other,"$1,000",6/1/2019
TRUCK ACCIDENT INJURY SCHOLARSHIP,"The Schwaner Injury Law firm is excited to announce an annual scholarship for college students who are survivors of truck accidents and have survived and triumphed over their injuries to pursue a college education. As a firm who represents the seriously injured, we know how tough it can be to face a severe truck accident injury. Our goal is to provide tuition assistance to those who have suffered by making their college education more financially accessible.",- None -,$500,6/1/2019
Bicycle Planning Scholarships,Designed to support students in architectural or similar fields who are enthusiastic about the advancement of bicycle integration in buildings and city transportation systems.,"Architecture, Design & Planning","$1,000",6/1/2019
Medical Billing Service’s Annual Health and Techno,We want to encourage students to reflect on the relationship between health and technology and to use their imagination to forecast where these subjects may lead us into the future.,Health Professions,"$1,000",6/1/2019
"DO Supply, Inc. Academic Scholarship","Are you passionate about the presence of small business in the American economy?DO Supply, Inc. is offering a scholarship award to the student who best demonstrates his/her passion for small business in the United States by creating a well-researched and personal account of a small business that has impacted his/her life, or of a dream he/she may have to establish their own business.",Business,"$1,000",6/1/2019
24×7 Doctors Answering Service – 2019 Scholarship,"From the CEO to the accountant, our team cares about America’s youth and see the value of continued education, and that’s why we are proud to offer our annual $1,000 college scholarship contest. Annually we award a $1,000 college scholarship to one U.S. undergraduate in medical, business, advertising, marketing, or any field to build upon their future. Additionally GUARANTEE a $100 award to one applicant from each and every university. Learn more at https://24x7doctorsansweringservice.com/scholarship/",Business,"$1,000",6/1/2019
Find Answering Service Connectivity Scholarship,"Why is connectivity so important today? How will communication technology evolve in the future? What technology or types of communication do you use to connect with others? Answering these questions in a well written and thought-out essay can win a deserving undergraduate student a $1,000 scholarship.",Other,"$1,000",6/7/2019
John Fife Female Business Leadership Encouragement,"The John Fife Female Business Leadership Encouragement Scholarship, awarded by Chicago Venture Partners, was founded to encourage more women to pursue executive level and leadership roles in business fields. While we know that the number of women in financial fields continues to grow, we also know those numbers become fewer as we look at the top of the ladder. Women in leadership roles can have a positive effect on organizational culture, as well as their return on assets and equity. We want to encourage this kind of positive economic impact for businesses by encouraging greater female representation.",Business,"$10,000",6/14/2019
ExtremeTerrain’s Student Scholarships,"1 scholarship for $3,000 will be awarded twice a year to students who are pursuing a degree in Environmental Studies, Environmental Research, Land Use, Earth and Atmosphere Studies, Sustainable Land Management, Parks and Recreation, or Sustainable Agriculture Systems. One scholarship will be awarded for the fall semester and another for the spring semester each year.",Other,"$3,000",6/15/2019
Entrepreneurial Scholarship,"We are pleased to announce the Simmrin Law Group Entrepreneurial Scholarship. This scholarship is our way of fostering the values that drive all of us here at Simmrin, and helping pass those values to future leaders. It is a $1,500 scholarship which will support one high-achieving, entrepreneurially-minded college student.",Education,"$1,500",6/15/2019
ROBOTSINMYHOME SCHOLARSHIP,"ROBOTSINMYHOME SCHOLARSHIP: GET $1,000 FOR COLLEGE! We are providing a scholarship of $1000 .",Other,"$1,000",6/15/2019
The $500 Think Einstein HR Knowledge Scholarship,Einstein HR is pleased to announce that the company will be awarding a new $500 scholarship to eligible students. The Think Einstein HR Knowledge Scholarship is a way for the company to increase its emphasis on education and community development.,Education,$500,6/15/2019
Sixth City Marketing College Scholarship,"Sixth City Marketing is proud to announce that we will be offering an annual $1,500 one-time scholarship for incoming and current college and university students. The money will be dispersed beginning the fall semester of the 2019-2020 school year. *The scholarship will be paid directly to the university to be used toward graduate or undergraduate tuition and/or on-campus room and board.",- None -,"$1,500",6/15/2019
Lucidpress Scholarship,"Lucidpress is a design tool that empowers users to create stunning visual communications any time, anywhere. This year we want to empower young or aspiring entrepreneurs. Your college education is important to your success. To apply for this scholarship, use Lucidpress to design your answer to one of the three prompts listed in the website, adapted from this year's Common App essay questions.",- None -,"$1,000",6/16/2019
Women in Aerospace Foundation Scholarships,Four Scholarships will be awarded with the purpose of encouraging young women interested in a career in the aerospace field to pursue higher education degrees in engineering or science or math.,Other,"$2,000",6/18/2019
Magical Gorilla Scholarship Program,"Magical Gorilla Adventures is pleased to announce our company’s $1200 scholarship program which is available to students pursuing an undergraduate in tourism, environmental studies or any other related course.",Other,"$1,200",6/25/2019
"$1,500 Annual Community Volunteer Scholarship","At Dealhack, we believe that volunteer involvement is an integral part of a strong and prosperous community. To encourage this value, we’ve decided to reward a college or university student who demonstrates outstanding volunteer involvement in their community. The winner of our annual award will receive a $1,500 USD scholarship to use towards their tuition.",Other,"$1,500",6/30/2019
Jurado and Farshchian Scholarship,"We will be awarding a $1,000 scholarship to the student applicant who best demonstrates the relationship between their community service and future career goals and ambitions.",- None -,"$1,000",6/30/2019
ABC Fundraising Volunteer Recognition Scholarship,"Helping others is a key initiative of every member of the ABC Fundraising® team. We love to see groups using our products thrive and achieve incredible results. For the past 25 years, ABC Fundraising® has helped schools, youth sports teams, churches, and thousands of organizations all across America raise over 50 million dollars. We are now looking to award one determined and charitable student with our annual $2,500 scholarship.",- None -,"$2,500",6/30/2019
SEAMILK'S ANNUAL 2019 ENVIRONMENTAL VOLUNTEERING,"At SeaMilk, we're excited to promote and encourage those who make an environmental difference in their community. As such, we've set up a $1,250 USD scholarship to reward a university student who has demonstrated outstanding environmental achievement. The winner of this scholarship will be used towards their tuition.",Other,"$1,250",6/30/2019
Annual Scholarship Program - Whidegroup,"Whidegroup has created scholarships for web development students and high school seniors to give support to rising talent in web technologies and design. Whidegroup is also happy to support students learning marketing. Our company’s intention is to foster capable young people from the USA, UK, Canada, Germany, and Ukraine who are at the beginning of their creative path.",Business,$750,6/30/2019
WHRX Scholarship Program,"Each year, we will award £3,000 in college scholarships to One deserving students. Good luck! To apply, candidates must meet the minimum eligibility requirements and in order to enroll in this scholarship program, one has to write & send essay writing at scholarship@webhostingreviewsx.co.uk, along with you need to mention your name, college/university name, contact number, E-mail address and one legal residential proof.",Business,"$4,000",6/30/2019
The Recovery Village Health Care Scholarship,"A $1,000 award will be given to a student pursuing a health-related degree program. Areas of study that will be considered include, but are not limited to, counseling, social work, emergency medicine, pre-med, nursing, psychology (with a focus on addiction counseling or a substance-abuse related field). Applicants must submit an essay no more than 500 words describing why they are passionate about health care, with a focus on substance abuse and mental health. Essays can draw from personal or professional experience.",Health Professions,"$1,000",6/30/2019
"Friedman & Simon, L.L.P. 2019 $1,500 Academic Scho","Friedman & Simon, L.L.P. awards an annual $1,500 academic-based scholarship to a deserving student who is pursuing a higher education at an accredited college or university.",Education,"$1,500",6/30/2019
Cordisco & Saile Leukemia Scholarship,"Are you a leukemia survivor? Do you have a family member affected by leukemia? Tell us your story and apply for our $1,500 college scholarship.",Health Professions,"$1,500",6/30/2019
Dolphin Galleries Scholarship for the Visual Arts,"The foundation for a successful career begins with education, but Dolphin Galleries recognizes that attending a college or university may not be feasible for all students and their families. Having been in the Art industry for over 42 years Dolphin Galleries recognizes the importance of the visual & creative arts as a preservation and expression of culture. We would like to give the opportunity to the next generation to continue following their artistic and creative passion.",Arts,"$1,000",6/30/2019
Annual FishingPax Scholarship Program,"FishingPax is offering an annual scholarship to high school or college/University students. This scholarship is based on merit, requires an essay submission and the winner applicant will receive $1000 towards their costs of education.",Other,"$1,000",6/30/2019
Levoritz Law Firm Scholarship,"Submit a creative article on our given family law topic and the best-selected will be awarded $1,000",Law,"$1,000",6/30/2019
Future Criminal Lawyer Scholarship,Lakin Afolabi and his criminal defence team would like to welcome students who are thinking or already interested in pursuing a legal education in the next 5 years and demonstrate their passion in criminal justice with the following scholarship topic essay: “Should the presumption of innocence continue to apply in the #metoo era? Why or why not? (Minimum 500 words),Law,"$1,000",6/30/2019
Law Office of John J. Sheehan Overcoming Injuries,"The Law Office of John J. Sheehan will award one student with $1,000 to be used toward their education goals through The Overcoming Injuries Scholarship. The scholarship will be awarded to a student whose essay best describes a time when they or a loved one were physically injured and how they overcame it. In a 750-1000 word essay, discuss what the challenges involved and what you learned from the experience?",- None -,"$1,000",6/30/2019
The Recovery Village Health Care Scholarship,"A $1,000 award will be given to a student pursuing a health-related degree program. Areas of study that will be considered include, but are not limited to, counseling, social work, emergency medicine, pre-med, nursing, psychology (with a focus on addiction counseling or a substance-abuse related field). Applicants must submit an essay no more than 500 words describing why they are passionate about health care, with a focus on substance abuse and mental health. Essays can draw from personal or professional experience.",Health Professions,"$100,000",6/30/2019
The First Generation Scholarship,"The attorneys at the Godoy Law Office are passionate about assisting immigrant and refugee families achieve the American Dream. We understand immigration policies and procedures are complex, and the process can be discouraging to those who are unfamiliar with the United States laws. An essay of 700-1,000 words discussing the obstacles you have faced as a first generation American and how those experiences have shaped you into who you are today.",- None -,"$1,000",6/30/2019
Accident Victims Scholarship,Laborde Earles Injury Lawyers want to ask students how they believe the laws regarding accident victims could be improved. The person who submits a thorough 750 word essay to the 2019 Accident Victims Scholarship will receive an award of $1000 to help finance their education.,Law,"$1,000",6/30/2019
The “Eddie” Eyyad Almargi Pedestrian Awareness Sch,"In offering this $1000 scholarship, our goal is to improve safety on the road involving vehicles and pedestrians crossing the street. Our hope is for people to learn to share the road responsibly. In a 750 word essay, please discuss the dangers of crossing the street, the ways drivers can anticipate and avoid hitting people in the street, and the ways in which pedestrians can increase their safety.",Law,"$1,000",6/30/2019
Hamilton Grant Giving Back Scholarship,Stephen Hamilton and his team of attorneys work tirelessly to defend those in their community who are looking for help. These Texas attorneys believe it is important to empower people to participate in their community by also helping them to fulfill their full academic potential. This is why they are proud to offer the 2019 Hamilton Grant Giving Back Scholarship to a student who best demonstrates community service involvement and what giving back to their community has meant to them. Visit our scholarship page for application instructions and eligibility requirements!,- None -,"$1,000",6/30/2019
JustFundraising Scholarship 2019,"Tell us about the positive impact of a past fundraiser! How Does It Work? It’s simple! Tell us about a fundraiser that you were involved in, that had a significant impact on yourself and or the cause you were raising money for. Detail any unforgettable emotional moments, major accomplishments, as well as any life skills you learned throughout your fundraising experience. Example 1: tell us about a team fundraiser that allowed your team to enter and travel to the state championships, where you won the finals! Example 2: tell us about a charity fundraiser that allowed you to live a mission’s trip abroad, and the positive impact you were able to make. The Details: Must be all original content. JustFundraising becomes the owner of your essay content, and we may use it in our various affiliated websites. Length: Minimum of 500 + words Scholarship Prize: $500 Deadline: June 30, 2019. Payment: We will submit the payment directly to your name.",Social Welfare,$500,6/30/2019
Empowered Future Teachers Scholarship,"Our Empowered Future Teachers Scholarship aims to make an impact in the lives of aspiring teachers in America. Twice per year, we award a teaching student with a $10,000 scholarship to further their educational goals.",Education,"$10,000",6/30/2019
Building the Future Scholarship,"Our Building the Future Scholarship program supports those who have financial or diversity struggles because we understand the need for a diverse classroom to create a stronger community. Twice per year, we will award two talented aspiring early childhood education teachers with a $5,000 scholarship each towards their educational expenses.",Education,"$5,000",6/30/2019
Action Behavior Centers ABA Therapy Scholarship,"The Action Behavior Centers ABA Therapy Scholarship is a merit-based scholarship for US-based students pursuing higher education studies in a field that will benefit the research or clinical therapy for Autism Spectrum Disorders (ASD). The $1,000 Action Behavior Centers College Scholarship is be offered twice a year to students with a focus in psychology, applied behavior analysis (ABA), early education, secondary education, sociology, biology, and other natural or applied sciences that related to autism.",Other,"$1,000",6/30/2019
Club Thrifty Scholarship Program,"Club Thrifty believes that financial education and sound money management leads to a life filled with freedom and possibilities. As part of their mission to educate parents and students about the destructive power of debt, Club Thrifty is offering this $1,000 scholarship to at least one graduating high school senior or current undergraduate student each year. Visit the link provided to apply.",- None -,"$1,000",6/30/2019
PDX SEO LLC Scholarship Contest,"The PDX SEO Scholarship Contest will occur annually. Students will need to create a 2 to 5-minute video of themselves talking about the following: How Ideas Help Shape The World Around Us Why Education Is Extremely Important For Success In The Real World Motivation – Real-World Examples of Actions You Have Taken to Succeed in The Digital Marketing Industry Eligibility: Students who are currently enrolled in a high school, college, university, or trade school.",Business,"$1,000",7/1/2019
The Cover Guy 6th Annual Scholarship,The Cover Guy 6th Annual Scholarship is now open for entries. The Cover Guy Scholarship is an award of finances towards your educational pursuits and also an acknowledgement of your hard work and dedication both in your community and studies. The Cover Guy Scholarship recipients is also a small community and you will be in great company if chosen for this award. It has been a wonderful experience giving back to our communities and helping a few of our future leaders in their educational pursuits. Again this year the award will go to a student or students that represent the Qualities of The Cover Guy and our Employees.,Other,$500,7/1/2019
SkyPrep Scholarship Program,1) New international students 2) Any business and marketing program 3) Aged between 18-25 4) Undertaken high school diploma 5) Have an accepted admission of a business related major,Business,$500,7/1/2019
Women in Marketing Scholarship,We’re looking for a sophomore or upperclassman who is both inspired and inspiring and will use her knowledge and passion to succeed in our field of results-driven marketing.,Business,"$1,500",7/1/2019
Emergency Dentists USA's Video Scholarship,"The scholarship will be a video submission, we’re looking for short, less than 2 minute long videos that focus on entertaining us, while being creative and innovative with your ideas! The field of dentistry already gets a bum rap as far as fun-ness! We want to up the FUN quotient by evaluating the video submissions for the scholarship on these qualities. The topic of the video submissions for 2019 will be: Tell (or enact for us) what superpower you would love to have and how you would use it to help create better dental health in all people! All videos will be rated on a scale of 1-10 for: 1. Entertainment – Value 30% weighted 2. Innovative Idea / Presentation – Value 30% weighted 3. Idea Has Value to Dental Health – Value 30% weighted 4. Video Production Quality – Value 10% weighted We don’t want anyone to be able to win just because they have the fanciest production equipment, so we weighted the values in favor of entertainment and innovation. To us, entertainment just means FUN, so if you’re having FUN while you’re making the video, it’s going to show through and we’re going to notice it!",- None -,"$5,000",7/1/2019
The 2019 Cooper Hurley Injury Lawyers Distracted D,"The attorneys at Cooper Hurley Injury Lawyers have been supporting good causes in our community. We are also using our scholarship program to raise awareness about the dangers of distracted driving, one of the most significant causes of accidents involving young people. We will award one student with a $2,000 Scholarship to put toward their education.",Other,"$2,000",7/1/2019
Groove Life Scholarship,"Groove understands that education, the willingness to learn, and determination can catapult someone to their next great adventure in life, which is why they offer this scholarship. We want to hear about your greatest adventure or about the greatest adventure you hope to experience in the future.",- None -,"$3,000",7/1/2019
Prime Medical Alert Scholarship for Nursing,"The demand for nurses has been on the rise for over a decade. Training is very thorough for nurses because no two situations are the same. Hopeful nurses must take different courses, with college level programs existing at both two-year colleges and universities. Programs encompass varying levels of nursing education, each requiring different coursework and experience. We understand that it can become expensive so whether you’re aiming to be an RN or an LPN, you should take advantage of this scholarship. Open to applicants working towards a two-year or four-year degree. The scholarship renews each semester and must be submitted by July 31st for Fall applications or December 15th for Spring applications.",Nursing,"$1,000",7/15/2019
John Foy & Assoc Strong Arm Leukemia Scholarship,"Our $1,000 scholarship will be awarded to one college student who has battled leukemia or whose life has been affected by it. “We are honored to be a part of this brave community,” said firm founder John M. Foy. “We started this scholarship to raise awareness of the issues that face leukemia patients and their family members.” Leukemia is the most common cancer in children and teens, and it’s one of the most diagnosed in adults.",- None -,"$1,000",7/15/2019
The Sure Oak Scholarship,"While helping our clients achieve amazing results, we also make sure to educate them on the ever-changing field of digital marketing. Because we value education and its benefits, we have created an annual scholarship to help one undergraduate student reach their goals. All undergraduate students enrolled in an accredited college or university may apply regardless of major, year, or grade.",Other,"$1,000",7/15/2019
Avnet Law National Scholarship,"Avnet Law is proud to offer a $1,000 scholarship to students demonstrating community involvement and whose lives were affected by an accident.",Other,"$1,000",7/15/2019
Michael Moody Fitness Scholarship,"The Michael Moody Fitness Scholarship offers $1,500 to a high school senior, undergraduate, or graduate student who has demonstrated outstanding achievement, participation and leadership in school activities and work experience, and interest in pursuing a career in the health and fitness related fields. The student may apply and use the money for education-related expenses, including tuition, fees, books, supplies, room, and board. The scholarship is sponsored by Michael Moody Fitness. The 2019 program will be accepting scholarship applications from July 15th, 2018 until 1,000 scholarship applications are submitted or July 15th, 2019, whichever comes first. Your scholarship application MUST be one of the first 1,000 submitted by the deadline date.",Health Professions,"$1,500",7/15/2019
Landmark Students Of Recovery,"As an incoming or current college student, you have have a unique, first-hand glimpse of how substance abuse can impact your own life or the daily lives of your peers. The college setting is a crucial stepping stone in physical, mental, social, and career development, so it is important that institutions are equipped to adequately tackle the issue of substance abuse.",Other,"$1,000",7/15/2019
SeniorAdvice.com Senior Caregiver Scholarship,"We are offering a $2,000 scholarship to an eligible student who has been a caregiver for a senior friend or relative. One student, who will be attending college or university in the Fall of 2019, will receive $2,000 for tuition and/or books.",Other,"$2,000",7/15/2019
Hired Scholarship,"The Hired Scholarship offers a $5,000 first prize award for both spring and fall semesters, plus personalized training and promotion from a Talent Advocate to help promising computer science prodigies into the professional ranks. The top 10 finalists will also receive career coaching from a dedicated Talent Advocate, plus promotion to position them as top-rated software engineers. The Hired Scholarship is a golden chance for young software engineers to polish their interview skills and land their dream job. The Hired Scholarship is open to undergrads and graduate students in Computer Science along with software engineers from other majors who have made valuable contributions to the computer science or computer engineering landscape. Applicants must be currently enrolled in an accredited college or university in the United States. There is no specific major or GPA requirement. To be eligible for scholarship consideration you must meet all of the following criteria:",Other,"$5,000",7/15/2019
BambooHR Scholarship,"BambooHR is delighted to offer three $5,000 scholarships to passionate, creative university students who care about improving people’s lives. Those wishing to apply can choose from one of the three submission options available",Other,"$5,000",7/19/2019
2019 Scholarship Available At NYDNR,"Physical therapy is a robust and growing field of study, and we are always on the lookout for brilliant new talent. Each year we award $750 in scholarship funds to two promising physical therapy students, to help cover tuition expenses.",Health Professions,$750,7/20/2019
Policygenius Scholarship,"Write an original essay about a book, TV show, article, song or movie that taught you a lesson about money or changed your understanding about money. The winning essay may also be published in the Policygenius Magazine.",Other,"$3,000",7/28/2019
"Hawkins Spizman Kilgo, Childhood Cancer Awareness","Hawkins Spizman Kilgo, LLC is pleased to announce our Childhood Cancer Awareness Scholarship, in support of those who have survived or been directly affected by childhood cancer. This $1,000 scholarship will support one hard-working student who has had firsthand experience with this devastating disease.",- None -,"$1,000",7/31/2019
Cantor Crane Pledge to Drive Safely,"At the Law Firm of Cantor Crane Personal Injury Lawyers, we believe in achieving a higher education just as much as we take pride in representing people who have been injured in an accident. We understand and appreciate the importance that a solid education can factor in the future of successful college students. We also understand the potential difficulties of obtaining a college degree because of increasing costs of tuition, text books, and the everyday necessities of life. In order to help make a college education more affordable opportunity and to help spread awareness about Driving Under the Influence and Distracted Driving, the Arizona law firm of Cantor Crane is offering a $1,000 student scholarship to help current, or soon-to-be, students ease the burden of higher education costs. Participants will receive a $15 Credit for UBER® after taking the pledge.",Law,"$1,000",7/31/2019
Cartvela Internet Marketing Scholarship,This scholarship is made for the needy yet competitive students to fulfill their goals and help them grow academically so that they can bring out the best in themselves. All students are encouraged to apply for this scholarship.,- None -,"$1,000",7/31/2019
